Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 12078595 8647197 10588611 10735750 10247336 16136642 15628295 26830446 34247744
32 14410316 9145676 11702323 12299528 12261567 20951994 19515707 34215529 43277000
64 19353870 9823939 14065097 15428680 16099354 30138727 27374206 49053585 61720202
128 29242072 11794738 19006892 21542883 23982422 48728183 43053228 77690241 97774811
256 48929793 14924060 28297968 33997878 39776401 85907030 73799308 135870159 170363710
512 87622310 21593045 47859351 59690755 70653460 160285769 135815236 251160070 313745649
1024 166749591 34769279 85837025 109191412 133614288 307904227 258436520 480692905 597674470
2048 321099065 61867109 162420060 209888295 258164393 597099885 506153663 934394620 1172766124
4096 625086617 115285724 313929507 408803968 502759708 1182316522 981622111 1832944283 2277990366
