Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 11199303 8419980 10048609 9929110 9618121 14562041 14102220 24089809 30198089
32 13082859 8641177 10838940 11249793 11227355 18352444 17308344 30324172 38301966
64 17077803 9313570 12858620 13879877 14437135 25932115 24288267 42448431 53659203
128 25146159 11105491 17003730 19058733 20793217 41199404 36365244 67134842 84355468
256 41292341 13526712 24714671 29481852 33722389 71660867 62075152 116762966 146588838
512 73349455 19004598 32968662 50209017 59608858 133054564 113846893 216123630 254904824
1024 138276190 30040777 71936970 91421869 111507349 255235634 195312339 413191628 497782480
2048 266769967 48598710 134726692 174117758 213834448 482849708 404329647 790671263 997556264
4096 524445231 95886987 240515964 338241163 398552486 968420976 809167706 1434485240 1911791449
