Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 1289 2566 3848 5120 6408 7657 8928 10248 11512
32 1250 2532 3798 5100 6408 7672 8985 10276 11615
64 1247 2523 3799 5062 6316 7598 8868 10132 11396
128 1270 2546 3850 5182 6447 7724 8996 10243 11532
256 1276 2572 3816 5068 6338 7639 8904 10191 11493
512 1277 2535 3807 5147 6368 7620 8904 10168 11454
1024 1314 2622 3930 5232 6528 7786 9074 10338 11640
2048 1264 2547 3786 5064 6310 7555 8831 10083 11352
4096 1258 2516 3787 5044 6307 7555 8863 10109 11364
