Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 963 946 930 938 936 904 930 924 944
32 903 916 931 923 912 916 947 906 930
64 900 929 923 926 896 960 936 928 901
128 951 933 937 931 940 924 935 968 952
256 920 958 940 955 952 924 902 907 907
512 918 927 923 942 932 907 943 913 918
1024 912 907 952 959 904 920 922 945 936
2048 954 917 911 924 928 922 904 936 916
4096 918 916 976 933 923 926 957 904 948
