Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 1079680 911298 1010567 962370 1002068 1370165 1333156 2029370 2052471
32 988140 865985 839715 812909 859673 1218398 1242645 1805436 2393025
64 1222753 845783 1009370 999498 1007103 1679489 1576184 2609997 3198245
128 1679890 821498 1206422 1381239 1438308 2587228 2303129 3831972 4896449
256 2631979 1143330 1760599 1769438 2199327 4916084 3897891 6629325 8532868
512 4500623 1464733 2424671 2895334 3686201 7941571 6706145 11647965 16792752
1024 8429206 2276180 4171592 5128140 6585847 15085584 13124778 23041164 29537167
2048 15009432 3571855 7733293 9510559 12877161 29879591 26205573 44866407 58942148
4096 28483525 6330702 14327549 19007497 26664182 57039588 46860650 86778784 113362744
