Sizes md5sum sha1sum sha256sum sha512sum
16 7486637 7520060 7624391 7765166
32 7564387 7535140 7615131 7692694
64 7469192 7503752 7487575 7805227
128 7570665 7536447 7612456 7773177
256 7558133 7509120 7602456 7713614
512 7534820 7567098 7601468 7826608
1024 7551630 7573763 7626540 7894562
2048 7590624 7612884 7679314 8063619
4096 7595501 7561198 7676606 8251992
