Sizes md5sum sha1sum sha256sum sha512sum uquark dquark squark cquark
16 7632230 7621619 7601665 7767358 11973235 10684742 10557430 8669273
32 7528403 7532396 7578538 7738904 14368561 12234983 11779457 9043985
64 7546763 7571423 7579485 7775336 19312888 15426881 14140288 9908307
128 7524285 7548009 7563769 7755786 29066477 21599438 18847609 11569202
256 7545441 7573054 7604531 7792607 48732575 34168876 28434069 14915975
512 7512607 7559176 7594478 7829972 87749112 59224289 47582414 21595657
1024 7527571 7581196 7624459 7909585 165447782 109311372 85548932 34998869
2048 7521319 7581610 7628753 8065424 318853446 208870240 161012452 61692308
4096 7577159 7655693 7696943 8352189 622757707 407259455 313433311 115645016
