Sizes md5sum sha1sum sha256sum sha512sum uquark dquark squark cquark
16 1275 2540 3795 5041 6289 7573 8852 10142
32 1261 2560 3856 5116 6365 7642 8890 10169
64 1259 2588 3930 5214 6486 7772 9089 10407
128 1254 2553 3813 5078 6362 7640 8906 10158
256 1266 2545 3836 5116 6407 7705 8952 10220
512 1252 2544 3880 5164 6426 7709 8956 10228
1024 1267 2528 3781 5060 6332 7636 8877 10143
2048 1316 2646 3925 5173 6472 7756 9034 10332
4096 1258 2511 3776 5080 6396 7683 8969 10231
