Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 10231226 8361253 9878779 10118008 9652843 14543618 14116640 23904233 30126514
32 13136258 8669377 10895328 11265223 11218567 18328418 17708670 30085911 37830656
64 17083193 9327833 12797884 13831839 14389733 26278881 23608151 42399276 53438479
128 25223937 10767558 16773621 19033291 20798597 41199290 37130522 67645140 84311012
256 41462789 13551976 24676084 30478899 33804867 72020188 62401137 116728946 126539726
512 73741026 19038999 40476636 50249395 59608333 133171193 112757636 195902203 269725926
1024 137453199 29922213 71816511 91835767 110570903 215858084 214662379 392437849 517606129
2048 265444177 52021441 134703404 174151179 193626134 495076606 409563912 751398652 988050271
4096 514685741 95619845 239137894 338195374 398676461 968475198 808869096 1477620905 1877916150
