Sizes md5sum sha1sum sha256sum sha512sum uquark dquark squark cquark
16 6842822 8059825 8137231 8801216 12092050 11065650 11136337 9347129
32 8209115 8296084 8177824 8345281 13946382 12183414 11955353 9602586
64 8160355 8082793 8319938 8326688 18309272 14987626 14147527 10741048
128 7997940 8178428 8126158 8291448 26809480 20384551 18150867 11841385
256 7894243 8066127 8007273 8166918 43248410 30771831 26521055 15184468
512 8067606 8082700 8393323 8333094 77678333 52327125 43362608 21049557
1024 7934242 8022096 8415104 8520687 145629281 95217445 77521596 33732490
2048 7952784 8170168 8209949 8799591 280404039 180834547 138870701 47931092
4096 8177158 8193710 8278116 8536260 549093686 312698760 280149179 110052664
