Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 10410246 7547325 10352193 10337787 10092618 15070442 14791794 24004685 30076862
32 13795566 9135162 11286961 11777653 11635891 18792786 17648651 29794224 37316424
64 17587609 9948147 13519730 14440801 15255339 26905814 24432021 41694377 52127040
128 25493468 11056563 17134802 19435062 21723987 42427768 37448643 65978376 81999366
256 43723643 14207954 25522904 30333143 34620513 72795140 62382561 114270533 142156893
512 73661728 19444435 41028430 51519717 59954726 133426866 114189911 188886809 262889573
1024 137799499 30463567 73105841 92098353 110922260 256667223 217349610 394394207 495311067
2048 267118133 52545452 136460129 157128047 215311571 481196636 421646781 761489154 902889335
4096 523536618 96781921 260982412 319964161 409576010 964279146 727817434 1412949171 1896543428
