Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 11346862 8726051 10267280 10291946 10015285 15024037 14760855 23842441 29941901
32 13681148 9134001 11469339 11628753 11560223 18767670 17732274 29703822 37211420
64 17600933 9785853 13379707 14309240 14800824 26501867 24665977 42108518 52107367
128 25398025 11080910 17090735 19520165 21342962 42364545 37191067 66165853 69189345
256 41673372 13886228 25324215 30145377 34228545 72678441 62332829 113508656 142217491
512 73897544 19431710 40523116 52090809 60423526 134362498 113956652 210644624 263564746
1024 138385100 30874689 72139627 91718013 106569162 245508737 216562293 363014234 485162747
2048 251273548 52241711 134849117 161764433 209157027 480404664 404904458 720232920 965786270
4096 524368235 96024710 242561628 340924519 400107158 970917958 814142160 1404958049 1854086906
