Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 1597 3194 4789 6383 7981 9578 11172 12769 14366
32 1596 3192 4787 6383 7977 9577 11175 12772 14365
64 1597 3190 4786 6382 7975 9571 11165 12761 14360
128 1594 3187 4782 6376 7970 9564 11163 12757 14353
256 1596 3192 4781 6376 7972 9570 11169 12766 14363
512 1597 3190 4786 6379 7975 9569 11169 12765 14361
1024 1599 3192 4788 6383 7983 9581 11178 12774 14369
2048 1600 3196 4793 6389 7985 9580 11176 12771 14365
4096 1596 3192 4786 6381 7973 9571 11166 12762 14360
