Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 11080459 8366302 9968724 9984130 9641569 14601675 14135313 23917631 30216441
32 13110608 8691280 10859356 11297792 11292739 18523025 17299738 30250045 38083954
64 17050771 9304091 12847182 13931782 14500780 25996581 23723965 42481938 53486595
128 25279136 10766471 16832990 19114461 20902236 41422692 36446335 67368065 84737304
256 41174067 13558783 24648013 29327538 33905115 71983027 61824960 117027675 146933680
512 58315380 19022899 40504611 50081639 59427125 133334615 113573521 195849677 270410820
1024 138014076 30078962 71772434 91596684 110921395 236646631 215340147 373867148 519418977
2048 265734898 52057704 134289412 155758156 212931842 481516292 420206569 792944072 910326731
4096 521657901 96059989 239443430 340120465 357199016 973560368 765164239 1524812733 1933576841
