Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 1273 2576 3850 5148 6409 7695 9019 10317 11601
32 1244 2523 3774 5077 6329 7613 8929 10184 11436
64 1271 2543 3860 5132 6416 7702 8967 10260 11507
128 1277 2574 3858 5110 6419 7664 8947 10212 11472
256 1287 2592 3890 5157 6480 7776 9073 10345 11605
512 1305 2577 3831 5096 6362 7652 8980 10259 11543
1024 1258 2499 3783 5048 6327 7617 8908 10221 11469
2048 1252 2548 3844 5102 6400 7688 8948 10272 11562
4096 1264 2543 3820 5080 6364 7623 8932 10230 11515
