Sizes md5sum sha1sum sha256sum sha512sum uquark dquark squark cquark
16 1284 2561 3814 5072 6305 7582 8854 10094
32 1305 2584 3901 5141 6412 7684 8940 10192
64 1329 2600 3885 5143 6396 7680 8953 10233
128 1240 2565 3836 5121 6388 7646 8939 10190
256 1304 2564 3842 5100 6366 7618 8863 10120
512 1310 2628 3930 5247 6540 7793 9072 10333
1024 1331 2623 3939 5275 6547 7819 9100 10380
2048 1250 2560 3846 5092 6333 7600 8865 10112
4096 1276 2580 3904 5183 6467 7712 8977 10270
