Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 1263 2514 3790 5071 6323 7580 8860 10119 11384
32 1289 2552 3829 5099 6370 7634 8941 10193 11438
64 1239 2472 3736 4981 6225 7536 8768 10036 11358
128 1254 2518 3792 5082 6335 7621 8935 10224 11501
256 1334 2621 3890 5131 6416 7682 8965 10243 11470
512 1320 2620 3927 5165 6491 7725 8964 10218 11475
1024 1264 2532 3801 5128 6380 7670 8918 10186 11481
2048 1301 2557 3822 5093 6344 7608 8855 10090 11364
4096 1300 2582 3838 5102 6379 7686 9004 10257 11564
