Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 9548646 6940592 7550027 7672683 7829339 12246387 14275276 25854833 34197379
32 13161999 8735461 10869402 11383359 12176887 20738724 19339562 32709394 43385391
64 17228892 9352105 12962041 13951111 16149124 29756977 27107672 46396600 61226135
128 25181908 10811048 16751696 19005678 23966058 48349250 42500446 73981302 97317363
256 41408533 13473977 24791274 29523811 23971745 83113533 72976316 129526352 170106336
512 73915876 19270281 40434004 35605531 68701299 157842813 134232806 239374946 294125196
1024 138081460 30022819 71634841 91504183 133935859 285829733 257149388 419255344 542436623
2048 267222928 52607892 134824439 173195732 243223068 577756707 502299096 856764066 898965179
4096 515840906 95993679 235389624 338196157 470418969 1140013608 874122539 1682086709 2065644218
