Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 11044656 8417791 9952514 10019316 9910514 14635913 14137123 23939430 30197261
32 13227252 8676894 10879636 11260051 11199395 18293858 17318591 30194125 38006283
64 17082539 9288840 12876795 13904405 14455112 26012579 23712369 42539683 53519266
128 25236509 10836427 16830488 19057584 21997604 41365406 36629351 67244402 84763690
256 41221188 13509761 24734125 29601555 33679029 71915572 62105984 117005735 146774789
512 56107340 19009824 40394566 49894009 59421192 133287827 113871215 189008523 260289810
1024 137307601 30165933 71943637 91510523 110500672 235031978 215157491 395563397 518229415
2048 265674528 51871183 134863701 153711924 213616972 469460577 411524302 749540405 948695113
4096 516373792 96638533 239956978 338185254 399654235 970701588 809381202 1420412481 1944688103
