Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 9595779 8314035 9915215 9990413 9598217 14579871 14407549 24029506 30272623
32 13111284 8676450 11208741 11320480 11234251 18467187 17319046 30172051 37962860
64 17094798 9361582 12906421 13829469 14433591 26086143 23778788 42647891 53273520
128 25153990 10803680 16866028 19111413 20824635 41258553 36519835 67400248 84284453
256 41070033 13450668 24611858 29680991 33602588 71824457 62132407 116640776 148607153
512 73263826 18953602 40364943 50263919 59277222 132832225 112809429 202009664 268113793
1024 137433215 30061875 71793250 91920065 110975063 215899456 214835857 414954521 503051521
2048 267814880 52002433 134837571 174078510 203121015 493711149 399364688 789065004 958099813
4096 521834362 95759342 240045926 339846240 400569187 968744837 807956975 1061118316 1495429760
