Sizes md5sum sha1sum sha256sum sha512sum uquark dquark squark cquark
16 1597 3195 4793 6390 7987 9585 11183 12781
32 1596 3194 4792 6391 7988 9585 11181 12778
64 1597 3194 4791 6390 7986 9583 11180 12779
128 1597 3194 4792 6391 7987 9584 11182 12779
256 1598 3195 4793 6390 7987 9585 11183 12780
512 1596 3194 4793 6391 7988 9585 11183 12782
1024 1598 3196 4794 6390 7987 9584 11183 12779
2048 1597 3195 4793 6391 7988 9586 11183 12782
4096 1597 3194 4791 6389 7987 9584 11181 12778
