Sizes md5sum sha1sum sha256sum sha512sum uquark dquark squark cquark
16 1309 2588 3848 5152 6443 7713 9004 10269
32 1227 2525 3791 5088 6360 7631 8928 10176
64 1285 2615 3912 5242 6556 7823 9088 10373
128 1331 2622 3934 5219 6509 7766 9064 10335
256 1330 2596 3888 5160 6445 7748 9013 10280
512 1260 2532 3784 5040 6331 7636 8916 10217
1024 1261 2558 3856 5136 6389 7630 8928 10212
2048 1283 2619 3860 5144 6435 7694 8992 10260
4096 1260 2572 3844 5117 6364 7623 8933 10187
