Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 1263 2533 3782 5102 6377 7666 8887 10200 11471
32 1297 2538 3827 5092 6382 7651 8920 10196 11474
64 1288 2550 3813 5128 6416 7718 8938 10208 11542
128 1270 2568 3838 5123 6416 7716 8980 10276 11553
256 1308 2596 3834 5109 6391 7644 8913 10152 11421
512 1276 2557 3808 5077 6330 7637 8884 10167 11416
1024 1276 2553 3812 5083 6322 7617 8844 10078 11354
2048 1295 2576 3860 5105 6357 7658 8960 10261 11504
4096 1278 2548 3856 5139 6453 7750 9014 10296 11548
