Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 11814696 8793752 10237693 10322859 9577352 14602819 14265331 23347905 29401597
32 13308898 8696700 10925471 11671635 11283074 18402802 17324088 29381774 36881178
64 17289922 9350322 12897421 13920010 14370800 26072164 23672018 41961988 51905214
128 25493677 10793066 16783466 19064653 20935239 41428459 36420940 65530320 64925968
256 41806791 13396189 24699326 29382711 33816223 72042144 62715395 113172345 140629242
512 66804512 18994664 40404672 50182024 59507399 133512837 113176991 148604780 251731056
1024 138010327 30043052 71818958 91632463 111135948 172192007 200125225 402419993 400074639
2048 266066137 51862673 136362730 154035005 214909294 470306292 419599801 701035672 879859504
4096 506456140 95993349 260028352 318983795 400291617 934803194 724563170 1481830558 1851956499
