Sizes uquark cquark squark dquark
16 1259 2539 3851 5156
32 1322 2575 3888 5148
64 1252 2538 3797 5034
128 1246 2511 3763 5008
256 1277 2536 3790 5088
512 1270 2581 3820 5098
1024 1324 2560 3840 5151
2048 1272 2590 3851 5162
4096 1251 2530 3776 5044
