Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 1283 2559 3810 5069 6359 7604 8925 10188 11452
32 1284 2565 3810 5060 6336 7657 8904 10153 11404
64 1301 2566 3848 5132 6415 7686 9020 10303 11587
128 1255 2512 3772 5075 6353 7592 8894 10184 11436
256 1253 2529 3800 5078 6335 7649 8894 10169 11408
512 1319 2570 3836 5068 6364 7616 8918 10218 11496
1024 1240 2549 3794 5052 6342 7619 8908 10210 11464
2048 1288 2552 3828 5119 6428 7700 8965 10244 11494
4096 1276 2592 3856 5096 6377 7641 8961 10328 11604
