Sizes md5sum sha1sum sha256sum sha512sum uquark dquark squark cquark
16 1278 2569 3828 5107 6365 7690 8954 10212
32 1309 2612 3886 5158 6432 7710 8956 10287
64 1240 2512 3787 5091 6401 7681 8960 10244
128 1272 2524 3783 5080 6370 7648 8946 10224
256 1253 2544 3801 5087 6376 7616 8862 10143
512 1322 2639 3936 5208 6514 7817 9111 10366
1024 1297 2591 3828 5152 6461 7726 9018 10274
2048 1278 2574 3859 5114 6424 7696 8955 10216
4096 1232 2510 3781 5071 6388 7686 8916 10162
