Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 1256 2590 3840 5166 6468 7756 9064 10302 11587
32 1308 2624 3862 5139 6403 7647 8924 10252 11518
64 1274 2553 3840 5119 6440 7712 8940 10216 11449
128 1294 2590 3892 5155 6426 7672 8936 10231 11495
256 1264 2513 3770 5051 6340 7622 8899 10195 11484
512 1288 2533 3792 5032 6330 7608 8884 10142 11387
1024 1269 2551 3832 5064 6298 7549 8820 10067 11341
2048 1264 2553 3828 5103 6354 7688 8971 10246 11496
4096 1308 2566 3844 5190 6428 7676 8908 10159 11446
