Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 1120 1130 1137 1120 1137 1132 1104 1140 1129
32 1155 1121 1149 1103 1100 1131 1129 1130 1118
64 1117 1124 1120 1110 1145 1146 1144 1121 1109
128 1134 1132 1146 1139 1102 1160 1123 1141 1121
256 1168 1120 1128 1124 1116 1148 1094 1148 1120
512 1143 1132 1131 1128 1152 1152 1110 1123 1124
1024 1143 1150 1132 1128 1126 1128 1120 1150 1124
2048 1124 1120 1143 1150 1135 1122 1160 1118 1135
4096 1152 1122 1142 1136 1154 1144 1168 1095 1104
