Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 9790801 6379760 7019020 6890218 7236635 11063187 9605083 16184249 20543051
32 12388426 8739708 10897343 11338739 11207176 18392572 17435624 30210217 37987050
64 17085812 9342395 12807197 13892270 14362009 26026311 23718999 42630810 53530101
128 25197623 10835010 16785843 16234384 10750593 40186529 36344727 67492256 84628307
256 41511153 13544332 24555842 29399591 33669695 72296974 61814568 75589786 73329088
512 64179599 18979050 40455632 49889287 59574422 132990259 112797229 160097735 249785642
1024 138373027 30095038 72490877 72161054 55627254 253590574 214611473 395949957 498456541
2048 252251283 52084981 134057353 160612254 107471835 254204006 215281262 740852362 845268686
4096 516954874 96226475 159584198 175554370 209509090 827283694 747930106 1145048299 1009037658
