Sizes md5sum sha1sum sha256sum sha512sum uquark dquark squark cquark
16 8137078 8160162 8575673 8614214 47926552 38157981 35459049 21936303
32 7986099 7918234 7979328 8332131 65612056 50461089 45408974 25888332
64 8106891 8050380 7969067 8163818 103441360 75253127 63975803 33119794
128 7867671 7994870 8002474 8204984 179515946 125879945 99079069 47184103
256 8100880 8106880 8152776 8339464 334503551 228088811 175961177 75948158
512 7997619 7919005 8001661 8229547 619381813 408688795 322476772 129092417
1024 4543633 8332818 8221943 8452943 1251425704 776872622 614376253 228143927
