Sizes md5sum sha1sum sha256sum sha512sum uquark dquark squark cquark
16 7726867 8431535 8420868 8571264 47210152 37300719 35052433 22113922
32 8245326 7949773 8070492 8102951 65957121 50177865 44476918 25928085
64 7896315 8036951 8145815 8220847 103713236 75420637 62743271 32812096
128 8127013 8108576 7879742 8051503 182207055 125116636 99793583 47771205
256 7959242 7999273 8114003 8126274 333284088 225726564 150161990 76444429
512 8896931 8822348 8228524 8165919 636482852 410816423 304434985 132849345
1024 7902200 7920148 7934554 8222690 1208228407 751928470 594181812 248697648
2048 8044523 8081690 8145044 8823837 2419789910 1509828373 1160621005 479633535
4096 8754951 8891212 8840649 9465713 4604033347 3168772965 2219087923 944117267
