Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 11679764 8331505 10160100 11725087 9914292 15864248 15353774 27340107 34677144
32 14062815 8721720 11447525 11796853 11882268 20428561 19110536 34839698 43976961
64 19042545 9558845 13710477 14906814 15796692 29780597 26784267 49644126 63066484
128 28817944 11114092 18414655 21212126 23511203 48260586 42291653 79392163 100851347
256 48511859 14624927 28034343 33817117 38930899 85123957 73232226 139781814 176001366
512 87489074 21284906 47247413 58943737 70104591 159356647 135255078 258736650 323441709
1024 165938961 34507159 84883858 108964061 132678407 305290811 258422622 497073680 617113023
2048 320348839 61051445 161348811 209183405 243531083 424574865 358374340 813063392 1204570730
4096 624967597 114379488 311662840 405687292 501484551 1177267426 978647649 1880231605 2344751417
