Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 11095399 8366804 9971444 10076183 9590570 14695646 14221346 21506946 15721143
32 13147308 8739480 10793004 11254669 11210461 18418665 17352418 30161655 37926284
64 17034357 9351675 12794247 13858014 14436626 26003159 23589021 42489924 53367376
128 25084621 10733837 16706764 19065766 20876552 41252095 36352612 67103630 84286997
256 41161012 13449473 24783569 29354574 33680455 71813853 62055429 116540531 147114799
512 73559222 18951163 40459035 49968784 59636406 133428336 113154229 174751202 270275732
1024 138041757 30056290 71621843 91279358 110646050 234941855 215528402 392300252 519597764
2048 246591615 51909266 134719882 175645790 192764084 499884591 398767590 790407985 898213593
4096 521729800 96086078 251923040 338099966 399524186 968781918 752716125 1444837927 1947415337
