Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 1104 2049 2970 3921 4865 5808 6716 7657 8568
32 915 1877 2792 3718 4624 5548 6472 7384 8287
64 908 1824 2748 3663 4572 5498 6424 7346 8256
128 938 1883 2790 3729 4644 5581 6507 7486 8413
256 951 1936 2876 3803 4712 5638 6544 7459 8418
512 913 1911 2843 3756 4660 5568 6472 7416 8337
