Sizes md5sum sha1sum sha256sum sha512sum uquark dquark squark cquark
16 7268565 8351903 8056123 8414621 11981602 10690192 10370194 8811598
32 7867061 7910780 8027998 8075342 13651270 11832478 11411324 9182252
64 7880301 7888582 7969613 8555339 18146923 14613421 13562114 10025404
128 8188028 8398163 8416496 8254382 25589143 19516238 17565947 11305418
256 7843999 7856322 7960134 8095925 42163908 30461930 25721486 14632536
512 8209310 8326830 7964415 8101560 73690604 50389615 40660677 19970955
1024 8114144 8287674 8084175 8365288 138295445 91660102 73637886 31432206
2048 8364819 8323309 8370528 8660818 267117299 174375171 135989159 53563307
4096 8358476 8257174 8198227 8652203 525789915 341037612 259296122 98059364
