Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 8411533 7956086 9859996 10278495 9794965 14569282 14259033 23454084 29486709
32 13127422 8667990 10855576 11357522 11216252 18402946 17266012 29228376 36683434
64 17132742 9305019 12886611 13873461 15163103 26181991 23610792 41233241 36625402
128 25213026 10700723 16745962 19053672 20916885 41387323 36541413 65338604 81738661
256 41107689 13390838 24579528 29469886 33815652 51866474 62186032 113092249 141479774
512 73564241 18900475 40332858 50782457 59673530 133005137 113945495 188462931 261748257
1024 137417360 29981196 72194423 70992323 110868745 254462740 215260711 338884817 479333176
2048 267754316 51901265 134433161 153973509 214467712 482526036 419379508 767562203 853472855
4096 508694656 95643140 219950241 338490591 401783543 969637849 785891196 1349091937 1782839109
