Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 1272 2556 3808 5074 6357 7612 8929 10208 11473
32 1252 2505 3751 5003 6261 7578 8806 10091 11330
64 1272 2524 3803 5056 6308 7560 8891 10176 11486
128 1252 2530 3832 5104 6413 7724 8965 10264 11543
256 1285 2570 3836 5140 6430 7736 9001 10298 11525
512 1267 2551 3887 5191 6461 7720 9024 10271 11523
1024 1317 2572 3876 5143 6416 7656 8889 10161 11447
2048 1252 2582 3894 5168 6459 7732 9024 10296 11536
4096 1278 2584 3870 5167 6447 7706 8984 10271 11544
