Sizes uquark cquark squark dquark spongent-88 spongent-128 spongent-160 spongent-224 spongent-256
16 9525728 8451920 9923872 9964528 9636644 14757537 14107113 23376436 29340514
32 13133368 8644367 10857128 11299313 11198481 18390438 17297391 29291743 37162666
64 17113621 9311572 12939577 13881083 14453893 26060299 23730820 41294106 51678351
128 25110595 10851034 16806580 19112580 20961947 41274377 36507513 65078218 68143933
256 41188137 13439387 24558108 29480013 33691713 71808291 61905878 112827180 135587619
512 64687292 19102310 40452557 50137420 59448607 133462316 112711483 209227559 242112141
1024 137618016 30092333 72074967 91423682 90954476 255564559 214478588 359051844 486790041
2048 265463775 51922714 135826493 169626779 212292441 486565677 415767068 759319952 935979012
4096 524456934 95844100 239380788 341076842 380404967 965421796 811237968 1344775779 1758272420
